STCN;Biografisch Portaal;Note
http://stcn.data2semantics.org/resource/auteur/068419066;http://www.biografischportaal.nl/persoon/26297061;Match for year 1715
http://stcn.data2semantics.org/resource/auteur/068419309;http://www.biografischportaal.nl/persoon/25545735;Match for year 1732
http://stcn.data2semantics.org/resource/auteur/068420110;http://www.biografischportaal.nl/persoon/52555990;Match for year 1679
http://stcn.data2semantics.org/resource/auteur/068421044;http://www.biografischportaal.nl/persoon/35352108;Match for year 1631
http://stcn.data2semantics.org/resource/auteur/068421443;http://www.biografischportaal.nl/persoon/43085001;Match for year 1608
http://stcn.data2semantics.org/resource/auteur/068423578;http://www.biografischportaal.nl/persoon/36590508;Match for year 1667
http://stcn.data2semantics.org/resource/auteur/068423667;http://www.biografischportaal.nl/persoon/60768646;Match for year 1587
http://stcn.data2semantics.org/resource/auteur/068426488;http://www.biografischportaal.nl/persoon/23743249;Match for year 1547
http://stcn.data2semantics.org/resource/auteur/068426496;http://www.biografischportaal.nl/persoon/79752817;Match for year 1684
http://stcn.data2semantics.org/resource/auteur/068432240;http://www.biografischportaal.nl/persoon/14928797;Match for year 1741
http://stcn.data2semantics.org/resource/auteur/068433441;http://www.biografischportaal.nl/persoon/19347768;Match for year 1554
http://stcn.data2semantics.org/resource/auteur/068440146;http://www.biografischportaal.nl/persoon/10149274;Match for year 1483
http://stcn.data2semantics.org/resource/auteur/068442149;http://www.biografischportaal.nl/persoon/46615955;Match for year 1741
http://stcn.data2semantics.org/resource/auteur/06844530X;http://www.biografischportaal.nl/persoon/48249920;Match for year 1641
http://stcn.data2semantics.org/resource/auteur/06844530X;http://www.biografischportaal.nl/persoon/41125723;Match for year 1717
http://stcn.data2semantics.org/resource/auteur/068445601;http://www.biografischportaal.nl/persoon/32466855;Match for year 1532
http://stcn.data2semantics.org/resource/auteur/068452403;http://www.biografischportaal.nl/persoon/10177027;Match for year 1722
http://stcn.data2semantics.org/resource/auteur/068453124;http://www.biografischportaal.nl/persoon/30228355;Match for year 1647
http://stcn.data2semantics.org/resource/auteur/068453361;http://www.biografischportaal.nl/persoon/06271532;Match for year 1606
http://stcn.data2semantics.org/resource/auteur/068454066;http://www.biografischportaal.nl/persoon/49968869;Match for year 1550
http://stcn.data2semantics.org/resource/auteur/068454066;http://www.biografischportaal.nl/persoon/58620902;Match for year 1502
http://stcn.data2semantics.org/resource/auteur/068454090;http://www.biografischportaal.nl/persoon/58922120;Match for year 1722
http://stcn.data2semantics.org/resource/auteur/068454104;http://www.biografischportaal.nl/persoon/36257349;Match for year 1796
http://stcn.data2semantics.org/resource/auteur/068454155;http://www.biografischportaal.nl/persoon/38874959;Match for year 1750
http://stcn.data2semantics.org/resource/auteur/068454244;http://www.biografischportaal.nl/persoon/38893077;Match for year 1750
http://stcn.data2semantics.org/resource/auteur/068454791;http://www.biografischportaal.nl/persoon/81737280;Match for year 1535
http://stcn.data2semantics.org/resource/auteur/068454791;http://www.biografischportaal.nl/persoon/98359959;Match for year 1535
http://stcn.data2semantics.org/resource/auteur/068457170;http://www.biografischportaal.nl/persoon/59351556;Match for year 1596
http://stcn.data2semantics.org/resource/auteur/068457464;http://www.biografischportaal.nl/persoon/88231461;Match for year 1753
http://stcn.data2semantics.org/resource/auteur/068464037;http://www.biografischportaal.nl/persoon/31197879;Match for year 1640
http://stcn.data2semantics.org/resource/auteur/06846441X;http://www.biografischportaal.nl/persoon/40833577;Match for year 1756
http://stcn.data2semantics.org/resource/auteur/068465505;http://www.biografischportaal.nl/persoon/16113607;Match for year 1682
http://stcn.data2semantics.org/resource/auteur/068465513;http://www.biografischportaal.nl/persoon/25915634;Match for year 1664
http://stcn.data2semantics.org/resource/auteur/068468504;http://www.biografischportaal.nl/persoon/68992078;Match for year 1572
http://stcn.data2semantics.org/resource/auteur/068468881;http://www.biografischportaal.nl/persoon/72632670;Match for year 1535
http://stcn.data2semantics.org/resource/auteur/068469128;http://www.biografischportaal.nl/persoon/29924070;Match for year 1586
http://stcn.data2semantics.org/resource/auteur/068470363;http://www.biografischportaal.nl/persoon/20406958;Match for year 1745
http://stcn.data2semantics.org/resource/auteur/068470444;http://www.biografischportaal.nl/persoon/85134179;Match for year 1544
http://stcn.data2semantics.org/resource/auteur/068471319;http://www.biografischportaal.nl/persoon/20357577;Match for year 1636
http://stcn.data2semantics.org/resource/auteur/06847685X;http://www.biografischportaal.nl/persoon/02172829;Match for year 1756
http://stcn.data2semantics.org/resource/auteur/068477236;http://www.biografischportaal.nl/persoon/56396082;Match for year 1597
http://stcn.data2semantics.org/resource/auteur/068477279;http://www.biografischportaal.nl/persoon/42858940;Match for year 1608
http://stcn.data2semantics.org/resource/auteur/068477422;http://www.biografischportaal.nl/persoon/65479180;Match for year 1760
http://stcn.data2semantics.org/resource/auteur/068482353;http://www.biografischportaal.nl/persoon/18115320;Match for year 1669
http://stcn.data2semantics.org/resource/auteur/068536283;http://www.biografischportaal.nl/persoon/04044318;Match for year 1628
http://stcn.data2semantics.org/resource/auteur/068536283;http://www.biografischportaal.nl/persoon/54986765;Match for year 1628
http://stcn.data2semantics.org/resource/auteur/068551959;http://www.biografischportaal.nl/persoon/29366356;Match for year 1536
http://stcn.data2semantics.org/resource/auteur/068569246;http://www.biografischportaal.nl/persoon/19321776;Match for year 1639
http://stcn.data2semantics.org/resource/auteur/068570694;http://www.biografischportaal.nl/persoon/11627150;Match for year 1471
http://stcn.data2semantics.org/resource/auteur/068571615;http://www.biografischportaal.nl/persoon/20970443;Match for year 1620
http://stcn.data2semantics.org/resource/auteur/06857827X;http://www.biografischportaal.nl/persoon/94928247;Match for year 1647
http://stcn.data2semantics.org/resource/auteur/068581025;http://www.biografischportaal.nl/persoon/73490339;Match for year 1550
http://stcn.data2semantics.org/resource/auteur/068583966;http://www.biografischportaal.nl/persoon/13093904;Match for year 1548
http://stcn.data2semantics.org/resource/auteur/068595352;http://www.biografischportaal.nl/persoon/64802096;Match for year 1780
http://stcn.data2semantics.org/resource/auteur/068612168;http://www.biografischportaal.nl/persoon/15277875;Match for year 1535
http://stcn.data2semantics.org/resource/auteur/06862106X;http://www.biografischportaal.nl/persoon/24766096;Match for year 1705
http://stcn.data2semantics.org/resource/auteur/068627653;http://www.biografischportaal.nl/persoon/09074175;Match for year 1625
http://stcn.data2semantics.org/resource/auteur/068629230;http://www.biografischportaal.nl/persoon/11546087;Match for year 1624
http://stcn.data2semantics.org/resource/auteur/068632320;http://www.biografischportaal.nl/persoon/87255843;Match for year 1625
http://stcn.data2semantics.org/resource/auteur/068632320;http://www.biografischportaal.nl/persoon/45013103;Match for year 1625
http://stcn.data2semantics.org/resource/auteur/068634560;http://www.biografischportaal.nl/persoon/17208050;Match for year 1647
http://stcn.data2semantics.org/resource/auteur/068639406;http://www.biografischportaal.nl/persoon/56316230;Match for year 1497
http://stcn.data2semantics.org/resource/auteur/068651821;http://www.biografischportaal.nl/persoon/68901071;Match for year 1664
http://stcn.data2semantics.org/resource/auteur/068656394;http://www.biografischportaal.nl/persoon/14334760;Match for year 1382
http://stcn.data2semantics.org/resource/auteur/06866558X;http://www.biografischportaal.nl/persoon/59069719;Match for year 1669
http://stcn.data2semantics.org/resource/auteur/068665954;http://www.biografischportaal.nl/persoon/60732031;Match for year 1726
http://stcn.data2semantics.org/resource/auteur/068678355;http://www.biografischportaal.nl/persoon/26536025;Match for year 1527
http://stcn.data2semantics.org/resource/auteur/068684096;http://www.biografischportaal.nl/persoon/02499540;Match for year 1498
http://stcn.data2semantics.org/resource/auteur/06868438X;http://www.biografischportaal.nl/persoon/38515391;Match for year 1710
http://stcn.data2semantics.org/resource/auteur/068684398;http://www.biografischportaal.nl/persoon/20160056;Match for year 1656
http://stcn.data2semantics.org/resource/auteur/068684398;http://www.biografischportaal.nl/persoon/45828493;Match for year 1597
http://stcn.data2semantics.org/resource/auteur/068692706;http://www.biografischportaal.nl/persoon/53659071;Match for year 1645
http://stcn.data2semantics.org/resource/auteur/068693885;http://www.biografischportaal.nl/persoon/57201801;Match for year 1599
http://stcn.data2semantics.org/resource/auteur/068694539;http://www.biografischportaal.nl/persoon/78922133;Match for year 1592
http://stcn.data2semantics.org/resource/auteur/068702345;http://www.biografischportaal.nl/persoon/79086464;Match for year 1572
http://stcn.data2semantics.org/resource/auteur/068709331;http://www.biografischportaal.nl/persoon/32158182;Match for year 1592
http://stcn.data2semantics.org/resource/auteur/068721420;http://www.biografischportaal.nl/persoon/12364257;Match for year 1692
http://stcn.data2semantics.org/resource/auteur/068723407;http://www.biografischportaal.nl/persoon/82683360;Match for year 1616
http://stcn.data2semantics.org/resource/auteur/06872537X;http://www.biografischportaal.nl/persoon/48577078;Match for year 1595
http://stcn.data2semantics.org/resource/auteur/068727267;http://www.biografischportaal.nl/persoon/06169001;Match for year 1747
http://stcn.data2semantics.org/resource/auteur/068733100;http://www.biografischportaal.nl/persoon/47540926;Match for year 1548
http://stcn.data2semantics.org/resource/auteur/068739117;http://www.biografischportaal.nl/persoon/47173797;Match for year 1738
http://stcn.data2semantics.org/resource/auteur/068740654;http://www.biografischportaal.nl/persoon/09237989;Match for year 1692
http://stcn.data2semantics.org/resource/auteur/068747128;http://www.biografischportaal.nl/persoon/80636408;Match for year 1645
http://stcn.data2semantics.org/resource/auteur/06876295X;http://www.biografischportaal.nl/persoon/51857462;Match for year 1611
http://stcn.data2semantics.org/resource/auteur/068764294;http://www.biografischportaal.nl/persoon/12473263;Match for year 1575
http://stcn.data2semantics.org/resource/auteur/068764448;http://www.biografischportaal.nl/persoon/37970159;Match for year 1616
http://stcn.data2semantics.org/resource/auteur/068766327;http://www.biografischportaal.nl/persoon/64432597;Match for year 1572
http://stcn.data2semantics.org/resource/auteur/068766491;http://www.biografischportaal.nl/persoon/05242522;Match for year 1615
http://stcn.data2semantics.org/resource/auteur/068767161;http://www.biografischportaal.nl/persoon/03555556;Match for year 1517
http://stcn.data2semantics.org/resource/auteur/06876765X;http://www.biografischportaal.nl/persoon/65094401;Match for year 1547
http://stcn.data2semantics.org/resource/auteur/06876927X;http://www.biografischportaal.nl/persoon/20855666;Match for year 1743
http://stcn.data2semantics.org/resource/auteur/068774486;http://www.biografischportaal.nl/persoon/05836379;Match for year 1496
http://stcn.data2semantics.org/resource/auteur/068797990;http://www.biografischportaal.nl/persoon/65047550;Match for year 1695
http://stcn.data2semantics.org/resource/auteur/068798067;http://www.biografischportaal.nl/persoon/90069867;Match for year 1764
http://stcn.data2semantics.org/resource/auteur/068820755;http://www.biografischportaal.nl/persoon/88067119;Match for year 1740
http://stcn.data2semantics.org/resource/auteur/068824319;http://www.biografischportaal.nl/persoon/33913390;Match for year 1677
http://stcn.data2semantics.org/resource/auteur/068854455;http://www.biografischportaal.nl/persoon/41103645;Match for year 1576
http://stcn.data2semantics.org/resource/auteur/068871309;http://www.biografischportaal.nl/persoon/38487374;Match for year 1751
http://stcn.data2semantics.org/resource/auteur/06889015X;http://www.biografischportaal.nl/persoon/01130062;Match for year 1558
http://stcn.data2semantics.org/resource/auteur/068906889;http://www.biografischportaal.nl/persoon/94912544;Match for year 1667
